sku_produto_final,produto_final,sku_item,descricao_item,qtd_padrao,unidade
00504011,Biscoito de castanha do Pará com chocola,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0.0033,KG
00504011,Biscoito de castanha do Pará com chocola,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504011,Biscoito de castanha do Pará com chocola,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.011634,KG
00504012,Biscoito de castanha do Pará com chocola,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.015412,KG
00504012,Biscoito de castanha do Pará com chocola,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.015412,KG
00504012,Biscoito de castanha do Pará com chocola,0050303003,Nibs de Cacau - Sakaguchi(PA),0.014011,KG
00504012,Biscoito de castanha do Pará com chocola,0050304004,Liquor de Cacau - Sakaguchi (PA),0.014011,KG
00504012,Biscoito de castanha do Pará com chocola,0140106004,Açúcar Demerara,0.007006,KG
00504012,Biscoito de castanha do Pará com chocola,9990307005,Manteiga de Cacau Yanomami terc,0.003269,KG
00504012,Biscoito de castanha do Pará com chocola,0050108008,Biscoito de castanha do Pará,0.026548,KG
00504012,Biscoito de castanha do Pará com chocola,0050111002,Aromatizante Puxuri,1e-05,KG
00504012,Biscoito de castanha do Pará com chocola,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.023352,KG
00504012,Biscoito de castanha do Pará com chocola,9990111001,Flor de Sal,9e-05,KG
00504012,Biscoito de castanha do Pará com chocola,0050308011,Biscoito de castanha do Pará banhado com,0.05,KG
00504012,Biscoito de castanha do Pará com chocola,0190214023,Cartão Surpresa MINI - Prima Stampa,1,UN
00504012,Biscoito de castanha do Pará com chocola,0360213001,EMBALAGEM BISCOITO DE CASTANHA DO PARA c,1,UN
00504012,Biscoito de castanha do Pará com chocola,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00504012,Biscoito de castanha do Pará com chocola,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
00504012,Biscoito de castanha do Pará com chocola,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0.00166,KG
00504012,Biscoito de castanha do Pará com chocola,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504012,Biscoito de castanha do Pará com chocola,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.003878,KG
00504013,Bombom Chocolate com café 50g,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.0475,KG
00504013,Bombom Chocolate com café 50g,0050105001,Bombom de Chocolate,0.0475,KG
00504013,Bombom Chocolate com café 50g,03301011001,Café em pó - Apuí,0.0025,KG
00504013,Bombom Chocolate com café 50g,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.03135,KG
