sku,descricao,categoria_produto,unidade
0990866018,MA1530 - PRALINE D. 26 H 19 MM POLYCARB.,Ativo Imobilizado,UN
0990866019,MA1625 - PRALINE 33X18 H. 15 MM POLYCARB,Ativo Imobilizado,UN
0990866020,MA1966 - PRALINE 25X25 H. 15 MM POLYCARB,Ativo Imobilizado,UN
0990866021,MA1977 - *RECTANGULAR POLYC MOULD,Ativo Imobilizado,UN
0990866022,MA1984 - PRALINE STAR POLYCARBONATE MOUL,Ativo Imobilizado,UN
0990866023,MA2015 - BAR EXAGON 100 GR POLYCARBONATE,Ativo Imobilizado,UN
0990866024,MA2022 - BAR MIRROR POLYCARBONATE MOULD,Ativo Imobilizado,UN
0990866025,MA2017 - BAR LOVE 100 GR POLYCARBONATE M,Ativo Imobilizado,UN
0990866026,MA1924 - SNACK MODERN BON POLYCARBONATE,Ativo Imobilizado,UN
0990866027,MA1915 - SNACK 123X27 H 12MM POLYCARBONA,Ativo Imobilizado,UN
0990866028,MA4012 - PRALINE DOUBLE HEARTS POLYCARB.,Ativo Imobilizado,UN
0990866029,MA1019 - PRALINE 25X25 H 23 MM POLYC. MO,Ativo Imobilizado,UN
05104004,Lua Cheia Chocolate Branco 20g,Produto Acabado,PC
0990866001,MILL MOD. GRINDER ROLLER CRUSHERS AND PI,Ativo Imobilizado,UN
0990866002,BALL REFINER MOD. MICRON 25,Ativo Imobilizado,UN
0990866003,VIBRO FOR SIFING BY A VIBRATION,Ativo Imobilizado,UN
0990866060,Balança de precisão,Ativo Imobilizado,UNI
0990866079,21MA1521 - FORMA JOIA,Ativo Imobilizado,PC
0990866080,MA1303 - FORMA QUADRADO,Ativo Imobilizado,PC
0990866081,21MA1057 - FORMA HOPE,Ativo Imobilizado,PC
0990866082,MA1052 - FORMA DUNA,Ativo Imobilizado,PC
0990866083,MA1051 - FORMA FLUIDO,Ativo Imobilizado,PC
0990866084,MA1925 - FORMA GEOMÉTRICO,Ativo Imobilizado,PC
0990866085,MA1011 - FORMA GOTA,Ativo Imobilizado,PC
0990866086,MA1012 - FORMA FLORECER,Ativo Imobilizado,PC
0990866087,MA1070 - FORMA AURORA,Ativo Imobilizado,PC
0990866088,MA1042 - FORMA VAULT,Ativo Imobilizado,PC
0990866089,MA1066 - FORMA QUARTO DE CIRCULO,Ativo Imobilizado,PC
0990866090,MA1915 - FORMA PIRAMIDE,Ativo Imobilizado,PC
0990866091,MADEM1 - FORMA LINGUA DE GATO PERSONALIZ,Ativo Imobilizado,PC
0990866071,Porta Cozinha Quente,Ativo Imobilizado,PC
0990866106,Aspirador de Pó,Ativo Imobilizado,PC
0990866107,Moedor de Café Elétrico Cadense,Ativo Imobilizado,PC
0991015001,Tênis Olympikus Jogging 100,Material de Consumo,PC
1030,TERMOMETRO LASER DIGITAL,Material de Consumo,PC
456,Serviço de Reforma,Serviços,PC
491,Serviços Laboratoriais,Serviços,PC
537,Serviços de Transporte,Serviços,PC
588,Serviços de Manutenção,Serviços,PC
592,Serviços de Marketing,Serviços,PC
660,Bowls,Ativo Imobilizado,PC
794,FMAGIC TEMPER MT-33 KMini temperadeira,,UN
899,Coifa de cozinha,Material de Consumo,PC
9100121000,Mini temperadeira Modelo: MT-3K N,Ativo Imobilizado,PC
973,Estante plastica com 5 prateleiras,Material de Consumo,PC
9990111011,Frutas Tropicais,Materia Prima,KG
9990111012,Frutas Vermelhas,Materia Prima,KG
9990111016,Polpa cereja,Materia Prima,KG
9990111017,Doce de leite,Materia Prima,KG
9990111019,Estabilizante  Goma Guar,Materia Prima,KG
9990111024,Creme de café,Produto em Processo,KG
9990111022,Pasta de Pistache,Materia Prima,KG
9990111052,Solução Alcoólica Neutra Decoração,Materia Prima,LT
9990111057,Cápsula de Café Expresso,Materia Prima,UN
9990111071,Óleo de Soja,Materia Prima,PC
9990111075,Mini Cone de Sorvete,Materia Prima,UN
9990115003,Filme termo encolhivel,Embalagem,M
9990115004,Máscara PFF2,Material de Consumo,PC
9990115802,Leite condensado,Materia Prima,PC
9990307008,Pomada de manteiga de cacau,Produto em Processo,PC
9990311000,Caramelo,Produto em Processo,KG
9990311003,Recheio Yara Pistache,Produto em Processo,KG
9990311009,Recheio Yara Maracujá,Produto em Processo,KG
9990311010,Gianduia,Materia Prima,KG
9990311013,Ganache de Taperebá,Produto em Processo,KG
9990311020,Ganache Açaí,Produto em Processo,KG
9990311028,Ganache de Café,Produto em Processo,KG
9990311029,Ganache de Coco,Produto em Processo,KG
9990311031,Praliné Pistache colagem,Produto em Processo,KG
9990311032,Recheio Yara Praliné,Produto em Processo,KG
9990311036,Ganache Cupuaçu,Produto em Processo,KG
9990311038,Recheio Caramelo Maracujá,Produto em Processo,KG
9990311040,Colagem praliné para lua cheia,Produto em Processo,PC
9990311041,Ganache maracujá,Produto em Processo,PC
9990311042,Recheio Doce de Cupuaçu,Produto em Processo,KG
9990311043,Praliné de Avelã,Produto em Processo,PC
9990311044,Praliné de castanhas - Bolo de chocolate,Produto em Processo,KG
9990311045,Calda Bolo de Chocolate,Produto em Processo,KG
9990315022,Massa de trufa Intenso,Produto em Processo,KG
9990315024,Massa de trufa de Pistache,Produto em Processo,KG
9990315025,Polpa de Maracujá Reduzida,Produto em Processo,KG
9990315026,Polpa de Cupuaçu Reduzida,Produto em Processo,PC
9990315027,Polpa de Tapereba Reduzida,Produto em Processo,PC
9990315028,Polpa de Açaí Reduzida,Produto em Processo,PC
9990451007,Máquina Casquinhas de Sorvete,Ativo Imobilizado,PC
999070321,Bandeja de Bambu,Material de Consumo,PC
9990712061,Cinta Personalizada,Mercadoria de Revenda,PC
AF359,Toldo retratil 5x2m,Ativo Imobilizado,PC
ANDURA.MOLA.20,MELANGER ANDURA COM ACIONAMENTO POR MOLA,,1
CI1000,Melanger 220v,Ativo Imobilizado,UN
COMPICMS,COMPLEMENTO DE ICMS,,PC
MODNibs,Mao de Obra Nibs,SubConjunto,KG
SERV,Serviços Gerais,Serviços,PC
AT999999,ATIVO FIXO,Ativo Imobilizado,PC
AF361,Bombona 200L,Ativo Imobilizado,PC
999999999999999,Produto ignorado no Recebimento,,
9990712057,Bobina Papel Etiqueta Validade,Embalagem,PC
999011183,Mini Marshmallow,Materia Prima,KG
9990111048,Café organico em graos,Materia Prima,KG
361,Bombona 50L,Ativo Imobilizado,PC
1096,Farinha Criscito,Materia Prima,KG
0991015006,Sapato Soft Works BB65,Material de Consumo,PC
0990866070,Computador Ibira,Ativo Imobilizado,PC
0990866052,Saco de Confeitar,Material de Consumo,PC
05400001,Agua sem Gas em Lata 310ml,Mercadoria de Revenda,UN
05400002,agua com Gas em Lata 310ml,Mercadoria de Revenda,UN
0190213113,Balde com tampa 5KG,Embalagem,UND
0190213051,Caixa Base  LO 80g,Embalagem,PC
0190213052,Luva LO 80GR ao leite com Praliné,Embalagem,PC
0190213053,Luva LO 80GR Intenso com Praliné,Embalagem,PC
0190213054,Luva LO 80GR ao leite,Embalagem,PC
0010301006,Amêndoa de Cacau Seca Aprovada - Xiba,Materia Prima,KG
0010304004,Liquor de Cacau - Xiba,Produto em Processo,KG
05004155,Prato de Cerâmica Marajoara,Mercadoria de Revenda,PC
0430102001,Amêndoa de cacau seca aprovada Takahashi,Materia Prima,KG
9990107001,MANTEIGA DE CACAU desodorizada,Materia Prima,KG
03001001,Leite em Pó integral,Materia Prima,KG
0140106004,Açúcar Demerara,Materia Prima,KG
00701001,Amêndoa de Cacau - Yanomami (RR),Materia Prima,
0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,Materia Prima,KG
0190213060,Berço termoformado LO,Embalagem,PC
0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,Materia Prima,KG
0050108008,Biscoito de castanha do Pará,Materia Prima,KG
02101001,Cupuacu Sakaguchi (PA),Materia Prima,KG
0210101001,Amêndoa de Cupuaçu - Sakaguchi (PA),Materia Prima,KG
0200216011,"Papel Chumbo - Cromus - 43,5cm x 59cm",Embalagem,UN
0990866050,MESA VIBRATÓRIA VIBO 220V MONOFÁSICO.,Ativo Imobilizado,PC
0990866051,MESA VIBRATÓRIA DIAMOND 50,Ativo Imobilizado,PC
0400101001,AMÊNDOA DE CACAU SECA APROVADA - Alto Xi,Materia Prima,KG
0410305001,MASSA DE CHOCOLATE BRANCO ALTAMIRA,Produto em Processo,KG
02504009,Bom Jardim - Chocolate 63% Cacau - 50g,Produto Acabado,UN
0210303001,Nibs de Cupuaçu - Sakaguchi,Produto em Processo,KG
0210305004,Massa  de Cupuaçu - Sakaguchi,Produto em Processo,KG
0250303003,Nibs de Cacau - Bom Jardim,Produto em Processo,KG
02104013,Sakaguchi Cupulate 50g,Produto Acabado,UN
0440101001,amendoas de cupuaçu cru,Materia Prima,KG
00404009,Vale do Jarí - Chocolate 65% Cacau - 50g,Produto Acabado,UN
00204009,Mocajuba - Chocolate 74% Cacau - 50g,Produto Acabado,UN
0050308014,Biscoito 150 gr com choco,Produto em Processo,PC
0050308015,Biscoito 150 gr com Cupu,Produto em Processo,PC
00504020,Chocolates Sortidos 1,Produto Acabado,UN
00504021,Chocolates Sortidos 2,Produto Acabado,UN
00504022,Chocolates Sortidos 3,Produto Acabado,UN
00604010,AMABELA - Cupulate 65% Cupuaçu - 50g,Produto Acabado,UN
00704009,Yanomami-Ye&apos;kwana - Chocolate 69% C,Produto Acabado,UN
00804010,Kunkuni - Cupulate 70% Cupuaçi - 50g,Produto Acabado,UN
00504009,Sakaguchi - Chocolate 78% Cacau - 50g,Produto Acabado,UN
0050303004,NIBS DE CACAU - SAKAGUCHI NT 120-35,Produto em Processo,KG
0050303010,LIQUOR DE CUPUAÇU -SAKAGUCHI,Produto em Processo,KG
0050304005,LIQUOR DE CACAU - SAKAGUCHI  NT24,Produto em Processo,KG
0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,Produto em Processo,KG
01104009,Acará-Açu - Chocolate 75% Cacau 50g,Produto Acabado,UN
01004009,Paiter Suruí - Chocolate 70% Cacau - 50g,Produto Acabado,UND
0110109014,Castanha do Pará - Acará-Açu (PA),Materia Prima,KG
9990111000,Agua Mineral sem gás,Materia Prima,LT
9990307007,Manteiga de Cupuaçu,Materia Prima,KG
01104007,Chocolate Acará-Açu 75% cacau ( Amostra,Produto Intermediario,KG
00704007,Chocolate Yanomami 69% cacau ( Amostra ),Produto Intermediario,KG
03204007,Chocolate Sakaguchi ao Leite 47% cacau (,SubConjunto,KG
CONJ50X50,SEL.CONJ.50CMX50CM - 220V JR SELADORAS,,PC
01201001,Amêndoa de Cacau - Mulheres da Floresta,Materia Prima,KG
9990111001,Flor de Sal,Materia Prima,KG
00601002,Amêndoa de Cupuaçu - AMABELA (PA),Materia Prima,
99907003,Certificado CO2 Digital,Serviços,UN
999,Micro Batch Set para Premier Tilting,Material de Consumo,PC
1049,Micro Batch Set para Premier Tilting,Material de Consumo,PC
880,Amendoa de cacau crua,Materia Prima,KG
0100301006,Amêndoa de Cacau Seca Aprovada - Paiter,Materia Prima,KG
9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,Embalagem,KG
0190213056,Envelope plastico transparente,Embalagem,PC
0040301006,Amêndoa de Cacau Seca Aprovada - Vale do,Materia Prima,KG
Exp9801,CACAU BRUTO INTEIRO,,TON
0990866063,Refrigeradores Ibirapuera,Ativo Imobilizado,PC
00504011,Biscoito de castanha do Pará com chocola,Produto Acabado,UN
00504012,Biscoito de castanha do Pará com chocola,Produto Acabado,UN
03404002,Castanha do Pará com cobertura de chocol,Produto Acabado,UN
02104015,Biscoito de castanha do Pará banhado com,Produto Acabado,UN
0190213057,Embalagem – mod. Envelope p/ barra,Embalagem,PC
0190213050,Embalagem Campax 70,Embalagem,PC
0190213062,Caixa Biscoitos Fundo choco,Embalagem,PC
0190213063,Caixa Biscoitos luva choco,Embalagem,PC
0190213069,Caixa PI Yanomami-Ye’Kwana,Embalagem,PC
0190213070,Caixa PI Paiter Suruí,Embalagem,PC
0190213072,Caixa formigueiro Maracuja,Embalagem,PC
0190213073,Caixa folha com divisória,Embalagem,PC
0190213074,Caixa Biscoitos Fundo cupu,Embalagem,PC
0190213075,Caixa Biscoitos luva cupu,Embalagem,PC
0190213124,Forminha para Bombons Caixas,Embalagem,PC
0190213125,Tampa Caixa 30 bombons,Embalagem,PC
0190213130,Berço Base Caixa 14 Bombons,Embalagem,PC
0190213131,Caixa SSAL SIMPLES,Embalagem,PC
0190213132,Envelope SSAL,Embalagem,PC
0190213133,Berço interno caixa 14 bombons,Embalagem,PC
0190213116,Fundo Caixa 14 bombons,Embalagem,PC
0190213117,Caixa 30 bombons,Embalagem,PC
0190213105,Sacolas de papel tamanho P (24A x 16L),Embalagem,UN
0190213106,Sacolas de papel tamanho M (32A x 23L),Embalagem,UN
0190213107,Caixa mini Lua Cheia ao Leite 100g,Embalagem,PC
0190213111,Caixa Panettone com gotas de chocolate,Embalagem,UN
0190213112,Caixa Chocotone bites,Embalagem,UN
0190213157,Caixa Trio Mini Ovos,Embalagem,PC
0190213158,Berço Trio Mini Ovos,Embalagem,PC
9990712045,Etiqueta Lacre 2 - Adesivo transparente,Embalagem,PC
9990712046,Etiqueta Lacre 1  - Adesivo com hot stam,Embalagem,PC
0280101001,Amêndoa de Cacau Seca Aprovada- Novo Re,Materia Prima,KG
0400304001,LIQUOR DE CACAU - ALTO XINGU,Produto em Processo,KG
0100305005,Massa de Chocolate - Chocolate - Paiter,Produto em Processo,KG
0110305005,Massa de Chocolate - Chocolate - Acará-A,Produto em Processo,KG
0110303003,Nibs de Cacau - Acará-Açu (PA),Produto em Processo,KG
0050305005,Massa de Chocolate - Chocolate - Sakaguc,Produto em Processo,KG
0050304004,Liquor de Cacau - Sakaguchi (PA),Produto em Processo,KG
0050302010,Amêndoa de Cupuaçu Torrada - SAKAGUCHI,Produto em Processo,KG
0050303003,Nibs de Cacau - Sakaguchi(PA),Produto em Processo,KG
0100302002,Amêndoa de Cacau Torrada - Paiter Suruí,Produto em Processo,KG
0100303003,Nibs de Cacau - Paiter Suruí (RO),Produto em Processo,KG
0070304004,Liquor de Cacau - Yanomami (RR),Produto em Processo,KG
0060405008,Massa de Cupuaçu - AMABELA (PA),Produto em Processo,KG
0050305009,Massa de Chocolate - Chocolate 60% - Sak,Produto em Processo,KG
0060304004,Liquor de Cupuaçu - AMABELA (PA),Produto em Processo,KG
0020303003,Nibs de Cacau - Mocajuba (PA),Produto em Processo,KG
0050111002,Aromatizante Puxuri,Materia Prima,KG
0040304005,Liquor de Cacau - Vale do Jarí (PA/AP),Produto em Processo,KG
0010303003,Nibs de Cacau - Xiba,Produto em Processo,KG
9990111046,Água com Gás - Acquamix,Materia Prima,LT
9990111021,DEXTROSE,Materia Prima,KG
9990111023,Sorbitol em Pó,Materia Prima,KG
9990111042,Xerem de Castanha de Caju,Materia Prima,KG
9990117001,Cacau em Pó Yanomami,Materia Prima,KG
9990311037,Ganache limão,Produto em Processo,PC
9990311033,Castanha caramelizada,Produto em Processo,KG
9990311030,Praliné de Avelã colagem,Produto em Processo,KG
9990311025,Ganache Chocolate intenso,Produto em Processo,KG
9990311027,Ganache Framboesa,Produto em Processo,KG
9990311004,Praliné Pistache,Produto em Processo,KG
05104005,Lua Cheia Chocolate Intenso 20g,Produto Acabado,PC
9990111002,Glucose em pó,Materia Prima,KG
9990107003,Manteiga de Cacau Yanomami,Materia Prima,KG
9990111025,Polpa de Coco,Materia Prima,KG
9990111026,Sal,Materia Prima,KG
9990111027,Pectina,Materia Prima,KG
9990111028,Coco Ralado,Materia Prima,KG
9990111029,Manga Desidratada,Materia Prima,KG
9990111030,Coco em lasca,Materia Prima,KG
9990111031,Amêndoa,Materia Prima,KG
9990111032,Damasco desidratado,Materia Prima,KG
9990111033,Goiaba desidratada,Materia Prima,KG
9990111034,Cranberry desidratada,Materia Prima,PC
9990111035,Semente de abóbora,Materia Prima,KG
9990111036,Tâmara seca,Materia Prima,KG
9990111037,Uva Passa branca seca,Materia Prima,KG
9990111038,Speculoos,Materia Prima,KG
9990111040,Banana seca,Materia Prima,KG
9990111018,Polpa de Framboesa,Materia Prima,KG
9990111013,Polpa Cupuaçu,Materia Prima,KG
9990111015,Polpa Maracujá,Materia Prima,KG
9990111004,Baunilha em Fava,Materia Prima,KG
9990111005,Lecitina de Soja,Materia Prima,KG
9990111007,Clara em Pó,Materia Prima,KG
9990111008,Xarope de glucose,Materia Prima,KG
9990111009,Gelatina incolor,Materia Prima,KG
9990111010,Pistache,Materia Prima,KG
0050305008,MASSA DE CHOCOLATE -INTENSO NF24,Produto em Processo,KG
0050321024,Barra 80 GR  Caram de Maracujá+praliné,Produto em Processo,PC
0050321011,Barras com recheios - 80g   Pistache,Produto em Processo,UN
0050321013,Barras com recheios - 80g  com praliné,Produto em Processo,UN
0050321014,Barras com recheios - 80g   amargo 70% c,Produto em Processo,PC
0140106804,Açúcar invertido,Materia Prima,KG
0140106805,Açúcar refinado,Materia Prima,KG
0250304004,Liquor de Cacau - Bom Jardim,Produto em Processo,KG
05004097,Barra ES Leite com Avelã e Maracujá 80g,Produto Acabado,PC
05104007,Bombom Intenso Praliné 10g,Produto Acabado,PC
05104008,Bombom ao Leite Praliné 10g,Produto Acabado,PC
05104011,Bombom SF Leite Ganache de Framboesa 10g,Produto Acabado,PC
05104012,Bombom SF Leite Praliné de Pistache 10g,Produto Acabado,PC
05104014,Bombom SF Leite Ganache de Café 10g,Produto Acabado,UN
05104016,"Bombom SF Leite Ganache de Maracujá 7,7g",Produto Acabado,PC
05104017,Bombom SF Leite Ganache de Coco 10g,Produto Acabado,PC
05104018,"Bombom SF Leite Ganache de Cupuaçu 7,7g",Produto Acabado,PC
05104019,Trufas Nativas de Chocolate Branco 15g,Produto Acabado,PC
05104020,Trufas Nativas de Chocolate Intenso  20G,Produto Acabado,PC
05104022,Trufas Nativas Pistache 20g,Produto Acabado,PC
05104025,Formigueiro Praliné de Avelã 16g,Produto Acabado,PC
05104026,Língua de Onça Chocolate ao Leite 11g,Produto Acabado,PC
05104003,Lua Cheia Chocolate Ao Leite 20g,Produto Acabado,PC
05004056,Barra ES Leite Praliné de Pistache 80g,Produto Acabado,PC
05004057,Barra ES ao Leite Praliné de Avelã 80g,Produto Acabado,PC
05004058,Barra ES Intenso Praliné de Avelã 80g,Produto Acabado,PC
05104029,Língua de Onça Leite Praliné 11g,Produto Acabado,PC
05104032,Formigueiro Praliné de Pistache 16g,Produto Acabado,PC
05104033,Formigueiro Caramelo de Maracujá 16g,Produto Acabado,PC
05104035,Bombom SF Leite Ganache de Limão 10g,Produto Acabado,PC
05104056,Língua de Onça Intenso Praliné 11g,Produto Acabado,PC
05104058,Bombom SF Maracujá Intenso 10G,Produto Acabado,PC
05104059,Bombom SF Doce de Cupuaçu 10g,Produto Acabado,PC
05104060,Língua de Onça Chocolate ao Leite 5g,Produto Acabado,PC
05104061,Língua de Onça Leite Praliné 5g,Produto Acabado,PC
05104062,Língua de Onça Chocolate Intenso 5g,Produto Acabado,PC
05104063,Língua de Onça Intenso Praliné 5g,Produto Acabado,PC
AF342,Bancada Aco Inox Medidas 650mm x 1150mm,Ativo Imobilizado,PC
9990111047,Leite integral,Materia Prima,LT
9990111049,Polpa de Abacaxi com Hortelã,Materia Prima,KG
9990111050,Polpa de Acerola,Materia Prima,KG
9990111045,Polpa de Açaí,Materia Prima,KG
9990111055,Polpa Caja/Tapereba,Materia Prima,KG
9990111041,Polpa Limão,Materia Prima,KG
1064,Forma de bolo reta 23x5,Material de Consumo,PC
0500415,Caixa com berço 38x38x4,Embalagem,PC
0190213156,Blister Para 3 Ovos 50g,Embalagem,PC
9990111003,Creme de Leite UHT 25%,Materia Prima,KG
9990111044,Farinha de Maracujá,Materia Prima,PC
0190213066,Berço para caixa 18x12x4cm M,Embalagem,PC
0190213100,Caixa cartonada rígida 24x18x5 azul G,Embalagem,PC
0190213088,Caixa cartonada rígida  18x12x4 azul M,Embalagem,PC
0190213089,Caixa cartonada rígida 18x12x4 Marfim M,Embalagem,PC
05004027,Caixa Presente M,Produto Local,PC
0140106801,AÇÚCAR CRISTAL orgânico,Materia Prima,KG
00801014,Laranja,Materia Prima,KG
00801015,Vinho,Materia Prima,LT
999011106,Farinha de trigo com fermento,Materia Prima,PC
9990111061,Queijo coalho,Materia Prima,KG
9990111063,Banana Da Terra,Materia Prima,KG
9990111073,Castanha de Caju,Materia Prima,KG
9990111074,Ovo de Galinha,Materia Prima,UN
9990111068,Farinha de Trigo,Materia Prima,KG
IMPMAD01,MADEM1 - FORMA PARA MOLDAR LINGUA DE GAT,,UN
IMPMAD02,MADEM2 - FORMA PARA MOLDAR LINGUA DE GAT,,UN
IMPMAD03,MADEM3 - FORMA PARA MOLDAR BARRA RETANGU,,UN
948,Milho tostado salgado,Materia Prima,KG
9990111006,Manteiga de Leite,Materia Prima,KG
1052,Milho tostado com mel mostarda,Materia Prima,KG
1035,sacola mercado,Material de Consumo,PC
9990712059,Cartão Fidelidade,Embalagem,PC
9990712066,Cinta Personalizada MASP Pequena,Embalagem,PC
9990712067,Cinta Personalizada MASP Grande,Embalagem,PC
0190213163,Folder dos Ovos de Páscoa 100g,Embalagem,PC
0190213138,Folder informação nutricional SSAL,Embalagem,PC
0190213122,Caixa Correio Papelão M,Embalagem,UN
0190213096,Caixa Correio Mágio 26x17x09,Embalagem,PC
0190213097,Caixa Esfirra N3,Embalagem,PC
0190213098,Caixa Esfirra N2,Embalagem,PC
0190213099,Caixa Esfirra N1,Embalagem,PC
9990117003,Cacau em Pó Alcalino,Materia Prima,KG
999011108,FERMENTO QUIMICO,Materia Prima,PC
9990111056,Castanha do Pará,Materia Prima,KG
9990712055,Etiqueta alto teor de açúcar 1.3x1.8,Embalagem,PC
9990712056,Etiqueta alto teor de açúcar e gordura,Embalagem,PC
9990712062,Etiqueta Ovo de Páscoa Maracujá,Embalagem,PC
9990712063,Etiqueta Ovo de Páscoa Praliné de Avelã,Embalagem,PC
9990712064,"ADESIVO SSAL- 3,5X5,5CM",Embalagem,PC
9990712020,Etiqueta branca  ES leite pistache 7x9.5,Embalagem,PC
9990712021,Etiqueta branca ES intenso praliné 7x9.5,Embalagem,PC
9990712022,Etiqueta bran ES leite praliné mara7x9.5,Embalagem,PC
9990712023,Etiqueta branc ES ao leite praliné 7x9.5,Embalagem,PC
9990712024,Etiqueta de dif ES ao leite praliné 6x5,Embalagem,PC
9990712025,Etiqueta dif PF Sakaguchi ao Leite 6x12,Embalagem,PC
9990712026,Etiqueta de dif PF Acará-Açu 6x12,Embalagem,PC
9990712027,Etiqueta de dif PF Bom Jardim 6x12,Embalagem,PC
9990712028,Etiqueta de dif PF Vale do Jari 6x12,Embalagem,PC
9990712029,Etiqueta de dif PF Sakaguchi 78 (6x12),Embalagem,PC
9990712030,Etiqueta de dif PF Sakaguchi Cupu 6x12,Embalagem,PC
9990712031,Etiqueta de dif PF Xiba 6x12,Embalagem,PC
9990712032,Etiqueta de dif PF Mocajuba 6x12,Embalagem,PC
9990712033,Etiqueta de dif PF Kunkuni Cupu 6x12,Embalagem,PC
9990712034,Etiqueta de dif PF AMABELA Cupu 6x12,Embalagem,PC
9990712035,Etiqueta Bra PF Sakaguchi ao Leite verso,Embalagem,PC
9990712036,Etiqueta Branca PF Acará-Açu 4.5x14.5,Embalagem,PC
9990712037,Etiqueta Branca PF Bom Jardim 4.5x14.5,Embalagem,PC
9990712038,Etiqueta Branca PF Vale do Jari 4.5x14.5,Embalagem,PC
9990712039,Etiqueta Branca PF Sakaguchi 78 (verso),Embalagem,PC
9990712040,Etiqueta Branca PF Sakaguchi Cupu,Embalagem,PC
9990712041,Etiqueta Branca PF Xiba 4.5x14.5,Embalagem,PC
9990712042,Etiqueta Branca PF Mocajuba 4.5x14.5,Embalagem,PC
9990712043,Etiqueta Branca PF Kunkuni Cupu 4.5x14.5,Embalagem,PC
9990712044,Etiqueta Branca PF AMABELA Cupu 4.5x14.5,Embalagem,PC
9990712069,Etiqueta xiba 63% frente,Materia Prima,PC
9990712070,Etiqueta Xiba 63% Verso,Materia Prima,PC
9990712071,"ADESIVO BOPP PEROLA - 7,5X12CM",Materia Prima,PC
9990712072," ADESIVO BOPP PEROLA - 12X15,2CM",Materia Prima,PC
945,Folder SSAL,Embalagem,PC
1105,"FOLDER SSAL 14,5 X 10,5",Embalagem,PC
0190213058,1 Folha Papel Barrado,Embalagem,PC
0990866049,Balança 150kg,Ativo Imobilizado,PC
0990866095,HandHeld Printer Set,Ativo Imobilizado,PC
05400008,Soda Lata 350ml,Mercadoria de Revenda,PC
05400003,Coca-Cola Tradicional Lata 350ml,Mercadoria de Revenda,UN
AF343,Moveis Sob Medida,Ativo Imobilizado,PC
9990915001,Luva de Nitrilo,Material de Consumo,PC
9990915002,Prato descartável,Material de Consumo,PC
9990712060,Bobina termoscript loja,Material de Consumo,PC
9990213001,Saco Plastico Bobina Picotada,Embalagem,PC
9990111072,Leite Copa,Materia Prima,LT
9990111078,Café Copa,Material de Consumo,KG
0990866104,Mouse,Ativo Imobilizado,PC
0990866105,Fone de Ouvido,Ativo Imobilizado,PC
0991015004,Touca Descartável,Material de Consumo,PC
0991015005,Prope Descartável,Material de Consumo,PC
0990915002,Saco Para Lixo 100 L,Material de Consumo,PC
0990915003,Kalyclean H 181,Material de Consumo,LT
0990915004,Desinfetante 5L Lavanda Kalipto,Material de Consumo,PC
0990915005,Pano Saco Alvejado 45x65,Material de Consumo,PC
1036,APAGADOR PARA QUADRO,Material de Consumo,PC
1038,PILHA,Material de Consumo,PC
1039,PINCEL BIC 4 CORES,Material de Consumo,PC
1008,Elástico Latex,Material de Consumo,PC
0990815008,Água Sanitária,Material de limpeza,LT
0990815009,Bloqueador de odores,Material de limpeza,PC
0990866044,Sache de Açúcar Refinado Loja,Mercadoria de Revenda,PC
0990866045,Sache adoçante Sucralose,Mercadoria de Revenda,PC
0990866046,Sache Açúcar Orgânico,Mercadoria de Revenda,PC
1090,Escova Sanitária,Material de limpeza,PC
998,Papel Sulfite A4,Material de Consumo,PC
983,Freeco,Material de limpeza,PC
984,Bom ar,Material de limpeza,PC
986,GEL VASO SANITÁRIO,Material de limpeza,PC
987,Lenço umidecido,Material de limpeza,PC
991,Absorvente,Material de Consumo,PC
992,Detergente,Material de limpeza,PC
993,Sabão em pedra,Material de limpeza,PC
09908150001,Sabão em Pó,Material de limpeza,KG
09908150002,Pano de Limpeza,Material de limpeza,PC
09908150003,Balde,Material de limpeza,PC
09908150004,Pano de chão,Material de limpeza,PC
09908150005,Pastilha Sanitária,Material de limpeza,PC
09908150006,Coador de café para copa,Material de Consumo,PC
09908150007,Estilete,Material de Consumo,PC
09908150008,Avental descartável,Material de Consumo,PC
03001003,Leite em pó desnatado molico 280gr,Materia Prima,KG
1028,Lousa preta cavalete,Material de Consumo,PC
0990866098,Stand de Madeira,Ativo Imobilizado,PC
0990866066,Carrinho Mágio Ativações,Ativo Imobilizado,PC
019021424,CARTÃO QR,Embalagem,UN
AF357,GAGGIA VETRO 2 GRUPOS 220V - SERIE 0424,Ativo Imobilizado,PC
AF358,MOINHO G5 GRINDER BRA 220V - SERIE 0454,Ativo Imobilizado,PC
9990111051,café em pó Amiste,Materia Prima,PC
9990111079,Creme de Leite UHT 35%,Materia Prima,LT
0140106806,Açúcar Mascavo,Materia Prima,KG
0990866055,Bancada Inox,Ativo Imobilizado,UND
10631,CAIXA ISOPOR,Embalagem,UNI
964,Papel manteiga,Embalagem,PC
875,Bobina plástico bolha,Embalagem,PC
7898170981817,POTE 1L,Material de Consumo,PC
99901110781,Espeto de bambu,Material de Consumo,PC
9990213002,Caixa de Papelão,Embalagem,PC
99901150031,Plástico filme,Material de Consumo,PC
0190213805,Cakeboard,Embalagem,PC
