sku,descricao,categoria_produto,unidade
0150301001,Amêndoa de Cacau Seca Apr - Medicilândia,Produto em Processo,PC
01902120370,Embalagem caixa 4 bombons P,Embalagem,PC
01902120371,luva caixa 4 bombons P,Embalagem,PC
01902120372,Embalagem UBS P 4 doces,Embalagem,PC
01902120373,Embalagem UBS G 16 doces,Embalagem,PC
01902120374,Luva embalagem UBS G 16 doces,Embalagem,PC
01902120375,Luva embalagem UBS P 4 doces,Embalagem,PC
0190213061,Tampa Berço termoformada LO,Embalagem,PC
0190213083,Fita para fechamento de celofane,Embalagem,PC
0190213095,Cesta canoa de palha,Embalagem,PC
0190213103,Flowpack ES Chocolate Lt Cupuaçu 29g,Embalagem,PC
0190213121,Caixa Correio Papelão P,Embalagem,UN
0190213126,Folder das Caixas de Bombons,Embalagem,PC
0190213134,Folder das Caixas de 14 Bombons,Embalagem,PC
0190213135,Folder das Caixas de 30 Bombons,Embalagem,PC
01902131361,Copo descartável,Material de Consumo,PC
0190213139,Folder institucional SSAL,Embalagem,PC
0190213140,Carta Júlio Ye'kwana e Davi Kopenawa,Embalagem,PC
0190213141,Foto A4 Paisagem Pico,Embalagem,PC
0190213142,Foto A4 Davi Kopenawa,Embalagem,PC
0190213143,Foto A5 Foto Indígena,Embalagem,PC
0190213144,Foto A5 Paisagem Rio,Embalagem,PC
0190213145,Foto A5 Paisagem Chuva,Embalagem,PC
0190213146,Foto Cartão Postal Indígena,Embalagem,PC
0190213147,Foto Cartão Postal Davi Kopenawa,Embalagem,PC
0190213148,Foto Cartão Postal Povo Indígena,Embalagem,PC
0190213149,Foto Cartão Postal Paisagem Pico,Embalagem,PC
0190213150,Foto Cartão Postal Paisagem Rio,Embalagem,PC
0190213151,Foto Cartão Postal Paisagem Chuva,Embalagem,PC
0190213155,Candy Pad Caixa Circular SSAL,Embalagem,PC
0190213160,Berço Ovos Marajoara Grande,Embalagem,PC
0190213161,Luva Ovos Marajoara,Embalagem,PC
0190213168,Caixa B2B 2 Bombons,Embalagem,PC
0190213170,Caixa B2B 8 Bombons,Embalagem,PC
0190213171,Berço Ovos Marajoara Pequeno,Embalagem,PC
0190213172,Tampa Caixa 14 bombons,Embalagem,PC
0200216016,Papel Chumbo Prata 26x20cm,Embalagem,PC
0200216017,Papel Celofane Laranja,Embalagem,PC
0210305005,Massa de Cupuaçu  Sakaguchi - Reprocesso,Produto em Processo,KG
02104016,Biscoito de castanha do Pará banhado com,Produto Acabado,UN
0260102001,Amêndoa torrada aprovada Moju,Produto em Processo,KG
0260303001,Nibs de Cacau Moju,Produto em Processo,KG
0260304001,Liquor de Cacau - Moju,Produto em Processo,KG
0260305001,Massa de Chocolate Intenso - Moju,Produto em Processo,KG
0260305002,Massa de Chocolate ao Leite - Moju,Produto em Processo,KG
0260305003,Gotas de Chocolate ao Leite - Moju,SubConjunto,KG
0260305004,Gotas de Chocolate Intenso - Moju,SubConjunto,PC
0260305005,Massa de Chocolate ao Leite Zero Açúcar,Produto em Processo,KG
0260305006,Massa de Chocolate Intenso Zero Açúcar,Produto em Processo,KG
0280102001,Amêndoa torrada aprovada Novo Repartimen,Produto em Processo,KG
0280303001,Nibs de Cacau Novo Repartimento,Produto em Processo,KG
0280305001,Massa de Chocolate - Novo Repartimento t,Produto em Processo,KG
0280305002,Massa de chocolate ao leite Novo Reparti,Produto em Processo,PC
0290102001,Amêndoa torrada aprovada Igarape Miri,Produto em Processo,KG
0290303001,Nibs de Cacau Igarape Miri,Produto em Processo,KG
0290305001,Massa de Chocolate - Igarape Miri teste,Produto em Processo,KG
0290305002,Massa de Chocolate ao Leite Igarape,Produto em Processo,KG
0250321001,Barra 60g Terroir da Amazonia BOM JARDIM,Produto em Processo,PC
02504002,Cascas de Cacau - Bom Jardim,Produto em Processo,KG
03203004,Massa de Cacau - Sakaguchi ao Leite (PA),Produto em Processo,KG
0320305032,Massa de Chocolate - Chocolate - Sakaguc,Produto em Processo,KG
03001002,Leite em pó integral instântaneo,Materia Prima,PC
03404004,Castanha do Pará com cobertura de cupula,Produto Acabado,KG
0400305003,Massa de Cacau NTC v2,Produto em Processo,KG
0400305004,MASSA DE CHOCOLATE - CHOCOLATE - ALTO XI,Produto em Processo,KG
0400305005,MASSA DE CHOCOLATE - CHOCOLATE - ALTO XI,Produto em Processo,KG
04004010,Campax 70,Produto Acabado,PC
0440302001,Amêndoa de Cupuaçu torrada Abaetetuba,Produto em Processo,PC
0440303001,Nibs de Cupuaçu Abaetetuba,Produto em Processo,PC
0500305001,Massa de Chocolate branco 2024,Produto em Processo,KG
0500305002,Massa de Chocolate Branco - teste 2025,Produto em Processo,KG
05004001,PI Yanomami-Ye'kwana 69% 60g,Produto Acabado,PC
05004002,PI Paiter Suruí 70% 60g,Produto Acabado,PC
05004003,MAGIO PF Sakaguchi ao Leite 41% 60g,Produto Acabado,PC
05004004,MAGIO PF Acará-Açu 75% 60g,Produto Acabado,PC
05004005,MAGIO PF Bom Jardim 63% 60g,Produto Acabado,PC
05004006,MAGIO PF Vale do Jari 65% 60g,Produto Acabado,PC
0400302001,AMÊNDOA DE CACAU TORRADA - Alto Xingu,Produto em Processo,KG
0400303001,NIBS DE CACAU - Alto Xingu,Produto em Processo,KG
04104802,Chocolate Branco com Nibs Intenso     Or,Produto Acabado,UN
0420303801,NIBS DE CACAU - Fazenda Santa Ana,Produto em Processo,KG
05004008,MAGIO PF Sakaguchi Cupulate 58% 60g,Produto Acabado,PC
05004009,MAGIO PF Xiba 81% 60g,Produto Acabado,PC
05004010,MAGIO PF Mocajuba 74% 60g,Produto Acabado,PC
05004011,MAGIO PF Kunkuni Cupulate 58% 60g,Produto Acabado,PC
05004012,MAGIO PF AMABELA Cupulate  54% 60g,Produto Acabado,PC
05004015,MAGIO Língua de Onça ao Leite Cx80g,Produto Acabado,PC
05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,Produto Acabado,PC
05004017,Língua de Onça Leit Praliné Flowpack 11g,Produto Acabado,PC
05004018,Línguas de onça - intenso   loja,Produto Acabado,PC
05004019,Língua de onça - ao leite  loja,Produto Acabado,PC
05004020,Língua de onça Praliné,Produto Acabado,PC
05004021,Lingua de onça Cupuaçu /cupolate,Produto Acabado,PC
05004022,Princesa Iara chocolate - 3 unidades,Produto Acabado,PC
05004024,Tesouros da amazonia  - opção com 16,Produto Acabado,PC
05004025,Tesouros da amazonia -  opção com 32,Produto Acabado,PC
05004026,Tesouros da amazonia - opção com 48,Produto Acabado,PC
05004028,Caixa Presente G,Produto Local,PC
05004029,Caixa Folha Simples a Granel | 100g,Embalagem,PC
05004031,Mistura de 300g,Produto Acabado,PC
05004043,Formigueiro Caramelo de Maracujá Cx 80g,Produto Acabado,UN
05004045,Formigueiro Praliné de Pistache Cx 80g,Produto Acabado,PC
05004047,Biscoito Cast. Pará Chocolate 60% 150g,Produto Acabado,PC
05004048,Biscoito Cast. Pará Cupulate 70% 150g,Produto Acabado,PC
05004049,Lata Mini Wafer double Chock 150 g ao le,Produto Acabado,PC
05004050,Lata Mini Wafer double Chock 150 g Cupol,Produto Acabado,PC
05004053,Mistura de 300g  Coração,Produto Acabado,PC
05004055,Mistura de 300g   Coração,Produto Acabado,PC
05004098,Trufas Nativas Cx Sortimento 60G intenso,Produto Acabado,PC
05004102,Lua Cheia Minis Chocolate ao Leite 100g,Produto Acabado,PC
05004116,Língua de Onça | Display Unitário,Produto Acabado,PC
