sku,origem,data_faturamento,quantidade,descricao
05104077,Alm_SP_Loja,2025-09-23,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-23,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-23,1,Cappuccino Língua de Onça
05004016,Alm_SP_Loja,2025-09-23,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004015,Alm_SP_Loja,2025-09-23,1,MAGIO Língua de Onça ao Leite Cx80g
05004097,Alm_SP_Loja,2025-09-23,1,Barra ES Leite com Avelã e Maracujá 80g
05104078,Alm_SP_Loja,2025-09-23,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-23,1,Cappuccino Língua de Onça
05104060,Alm_SP_Loja,2025-09-22,1,Língua de Onça Chocolate ao Leite 5g
05104061,Alm_SP_Loja,2025-09-22,1,Língua de Onça Leite Praliné 5g
05104077,Alm_SP_Loja,2025-09-22,1,Biscoito Puxuri Chocolate - Unitário
05304008,Alm_SP_Loja,2025-09-22,1,Cappuccino Lingua de Onca Pequeno
05304012,Alm_SP_Loja,2025-09-22,1,Cafe Canela
05104077,Alm_SP_Loja,2025-09-22,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-22,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-22,1,Cappuccino Língua de Onça
05104060,Alm_SP_Loja,2025-09-22,1,Língua de Onça Chocolate ao Leite 5g
05304012,Alm_SP_Loja,2025-09-22,1,Cafe Canela
05104003,Alm_SP_Loja,2025-09-22,1,Lua Cheia Chocolate Ao Leite 20g
05104061,Alm_SP_Loja,2025-09-22,1,Língua de Onça Leite Praliné 5g
05304010,Alm_SP_Loja,2025-09-22,1,Cafe Carioca
05104062,Alm_SP_Loja,2025-09-22,1,Língua de Onça Chocolate Intenso 5g
05304005,Alm_SP_Loja,2025-09-22,1,Cafe Expresso
05104062,Alm_SP_Loja,2025-09-22,1,Língua de Onça Chocolate Intenso 5g
05104077,Alm_SP_Loja,2025-09-22,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-22,2,Cafe Expresso
05004010,Alm_SP_Loja,2025-09-22,1,MAGIO Povos Mocajuba 74% 60g
05104018,Alm_SP_Loja,2025-09-22,1,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104062,Alm_SP_Loja,2025-09-22,1,Língua de Onça Chocolate Intenso 5g
05304005,Alm_SP_Loja,2025-09-22,1,Cafe Expresso
05104062,Alm_SP_Loja,2025-09-22,3,Língua de Onça Chocolate Intenso 5g
05304005,Alm_SP_Loja,2025-09-22,3,Cafe Expresso
05104061,Alm_SP_Loja,2025-09-22,1,Língua de Onça Leite Praliné 5g
05104062,Alm_SP_Loja,2025-09-22,1,Língua de Onça Chocolate Intenso 5g
05104077,Alm_SP_Loja,2025-09-22,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-22,3,Cafe Expresso
05104061,Alm_SP_Loja,2025-09-22,1,Língua de Onça Leite Praliné 5g
