numero_op,sku_produto_final,sku_material,descricao_material,qtd_consumo,qtd_previsto,qtd_diferenca,data_registro,data_producao,status
4089,0100305002,0140106004,Açúcar Demerara,0.34,0.34,0,2026-05-20,2026-05-16,Produzida
4089,0100305002,03001001,Leite em Pó integral,0.28,0.28,0,2026-05-20,2026-05-16,Produzida
4089,0100305002,9990107001,MANTEIGA DE CACAU desodorizada,0.24,0.24,0,2026-05-20,2026-05-16,Produzida
4088,0100305001,0100303003,Nibs de Cacau - Paiter Suruí (RO),0.57,0.57,0,2026-05-20,2026-05-15,Produzida
4088,0100305001,0140106004,Açúcar Demerara,0.37,0.37,0,2026-05-20,2026-05-15,Produzida
4088,0100305001,9990107001,MANTEIGA DE CACAU desodorizada,0.06,0.06,0,2026-05-20,2026-05-15,Produzida
4086,0050308014,0050308011,Biscoito de castanha do Pará banhado com,15,15,0,2026-05-20,2026-05-19,Produzida
4086,0050308014,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,0,100,-100,2026-05-20,2026-05-19,Produzida
4086,0050308014,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0,0.33,-0.33,2026-05-20,2026-05-19,Produzida
4085,0050308011,0050108008,Biscoito de castanha do Pará,7.9645,7.9645,0,2026-05-20,2026-05-19,Produzida
4085,0050308011,0050111002,Aromatizante Puxuri,0.003,0.003,0,2026-05-20,2026-05-19,Produzida
4085,0050308011,0050305009,Massa de Chocolate - Chocolate 60% - Sak,7.0055,7.0055,0,2026-05-20,2026-05-19,Produzida
4085,0050308011,9990111001,Flor de Sal,0.027,0.027,0,2026-05-20,2026-05-19,Produzida
4084,0050315004,0050111003,Semente de Cumaru,0.002,0.0018,0.0002,2026-05-19,2026-05-14,Produzida
4084,0050315004,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,1.3114,1.3114,0,2026-05-19,2026-05-14,Produzida
4084,0050315004,9990111003,Creme de Leite UHT 25%,0.5231,0.5231,0,2026-05-19,2026-05-14,Produzida
3528,05104110,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.081,0.081,0,2026-05-11,2026-05-08,Produzida
3528,05104110,9990311030,Praliné de Avelã colagem,0.0829,0.099,-0.0161,2026-05-11,2026-05-08,Produzida
4083,0020315004,0020305008,Massa de Chocolate - Mocajuba Intenso,1.05,0,1.05,2026-05-19,2026-05-19,Produzida
4083,0020315004,0260305001,Massa de Chocolate - Moju Intenso,0,1.05,-1.05,2026-05-19,2026-05-19,Produzida
4083,0020315004,9990111003,Creme de Leite UHT 25%,0.35,0.35,0,2026-05-19,2026-05-19,Produzida
4082,0020315003,0020305008,Massa de Chocolate - Mocajuba Intenso,0.5134,0,0.5134,2026-05-19,2026-05-19,Produzida
4082,0020315003,0050111003,Semente de Cumaru,0.002,0.0009,0.0011,2026-05-19,2026-05-19,Produzida
4082,0020315003,0260305001,Massa de Chocolate - Moju Intenso,0,0.5134,-0.5134,2026-05-19,2026-05-19,Produzida
4082,0020315003,9990111003,Creme de Leite UHT 25%,0.4044,0.4043,0.0001,2026-05-19,2026-05-19,Produzida
4081,05104122,0020305008,Massa de Chocolate - Mocajuba Intenso,1.1537,0,1.1537,2026-05-19,2026-05-19,Produzida
4080,05104122,0050305035,Massa Choco ao leite com Castanha Pará,0.362,0,0.362,2026-05-19,2026-05-19,Produzida
4080,05104122,0500305002,Massa de Chocolate Branco - teste 2025,0.248,0,0.248,2026-05-19,2026-05-19,Produzida
4079,05104122,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.9889,0,0.9889,2026-05-19,2026-05-19,Produzida
4078,05104122,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,2.22,0,2.22,2026-05-19,2026-05-19,Produzida
4077,0050305010,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,6.1776,6.2103,-0.0327,2026-05-19,2026-05-14,Produzida
4077,0050305010,9990307008,Pomada de manteiga de cacau,0,0.0627,-0.0627,2026-05-19,2026-05-14,Produzida
4077,0050305010,9990311030,Praliné de Avelã colagem,4.48,4.182,0.298,2026-05-19,2026-05-14,Produzida
4076,05004016,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,2080,2080,0,2026-05-19,2026-05-19,Produzida
4076,05004016,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,2080,2080,0,2026-05-20,2026-05-19,Produzida
4076,05004016,0190213051,Caixa Base  LO 80g,130,130,0,2026-05-19,2026-05-19,Produzida
4076,05004016,0190213051,Caixa Base  LO 80g,130,130,0,2026-05-20,2026-05-19,Produzida
4076,05004016,0190213052,Luva LO 80GR ao leite com Praliné,130,130,0,2026-05-19,2026-05-19,Produzida
4076,05004016,0190213052,Luva LO 80GR ao leite com Praliné,130,130,0,2026-05-20,2026-05-19,Produzida
4076,05004016,0190213060,Berço termoformado LO,130,130,0,2026-05-19,2026-05-19,Produzida
4076,05004016,0190213060,Berço termoformado LO,130,130,0,2026-05-20,2026-05-19,Produzida
4076,05004016,019021424,CARTÃO QR,130,130,0,2026-05-19,2026-05-19,Produzida
4076,05004016,019021424,CARTÃO QR,130,130,0,2026-05-20,2026-05-19,Produzida
4076,05004016,9990712045,Etiqueta Lacre 2 - Adesivo transparente,130,130,0,2026-05-19,2026-05-19,Produzida
4076,05004016,9990712045,Etiqueta Lacre 2 - Adesivo transparente,130,130,0,2026-05-20,2026-05-19,Produzida
4075,0020304004,0020303003,Nibs de Cacau - Mocajuba (PA),7.2,6.6,0.6,2026-05-19,2026-05-15,Produzida
4074,0020305008,0020304004,Liquor de Cacau - Mocajuba (PA),6.6,6.6,0,2026-05-19,2026-05-15,Produzida
4074,0020305008,0140106004,Açúcar Demerara,4.582,4.32,0.262,2026-05-19,2026-05-15,Produzida
4074,0020305008,9990107001,MANTEIGA DE CACAU desodorizada,0.96,0.96,0,2026-05-19,2026-05-15,Produzida
4074,0020305008,9990111005,Lecitina de Soja,0.036,0.036,0,2026-05-19,2026-05-15,Produzida
4073,05104122,0020305008,Massa de Chocolate - Mocajuba Intenso,0.065,0,0.065,2026-05-19,2026-05-19,Produzida
4073,05104122,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.195,0,0.195,2026-05-19,2026-05-19,Produzida
4073,05104122,0500305002,Massa de Chocolate Branco - teste 2025,0.04,0,0.04,2026-05-19,2026-05-19,Produzida
4072,05104059,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0,0.462,-0.462,2026-05-19,2026-05-14,Produzida
4072,05104059,05104018,"Bombom SF Leite Ganache de Cupuaçu 7,7g",84,0,84,2026-05-19,2026-05-14,Produzida
4072,05104059,9990311042,Recheio Doce de Cupuaçu,0,0.378,-0.378,2026-05-19,2026-05-14,Produzida
