sku,descricao,data_saida,data_entrada,documento,almoxarifado_origem,almoxarifado_destino,quantidade,lote
05004141,Língua de Onça Cupulate Flowpack 11g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,9,0050414100001062026
05004142,Barra ES Chocolate Lt Maracujá 29g,2026-07-22,2026-07-22,4398,Almox_SP_Ativacao,Almox_SP_Fabrica,7,0500104068000050126
05004143,Barra ES Chocolate Lt Pistache 29g,2026-07-22,2026-07-22,4398,Almox_SP_Ativacao,Almox_SP_Fabrica,7,0050414300005042026
05004143,Barra ES Chocolate Lt Pistache 29g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,3,0050414300005042026
05004148,Caixa de Bombons M (14 bombons),2026-07-21,2026-07-21,4372,Almox_SP_Loja,Almox_SP_Fabrica,1,0500104013000050526
05004148,Caixa de Bombons M (14 bombons),2026-07-22,2026-07-22,4395,Almox_SP_Loja,Almox_SP_Fabrica,1,0500104013000050526
05004148,Caixa de Bombons M (14 bombons),2026-07-23,2026-07-23,4400,Almox_SP_Loja,Almox_SP_Fabrica,1,0500104013000050526
05004149,Caixa de Bombons G (30 bombons),2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,1,050010403J000050526
05104007,Bombom Intenso Praliné 10g,2026-07-20,2026-07-20,4352,Almox_SP_Processo,Almox_SP_Fabrica,13,0200104060000000526
05104007,Bombom Intenso Praliné 10g,2026-07-24,2026-07-24,4406,Almox_SP_Processo,Almox_SP_Fabrica,15,2600104060000010226
05104008,Bombom ao Leite Praliné 10g,2026-07-20,2026-07-20,4352,Almox_SP_Processo,Almox_SP_Fabrica,67,0500104030000050626
05104008,Bombom ao Leite Praliné 10g,2026-07-24,2026-07-24,4406,Almox_SP_Processo,Almox_SP_Fabrica,8,0500104030000050726
05104012,Bombom SF Leite Praliné de Pistache 10g,2026-07-20,2026-07-20,4352,Almox_SP_Processo,Almox_SP_Fabrica,46,050010404G000050626
